Borough,"date_mday","ComplaintType",count
BRONX,11,Rodent,15
BRONX,11,"Root/Sewer/Sidewalk Condition",3
BRONX,11,SAFETY,6
BRONX,11,SCRIE,4
BRONX,11,"Sanitation Condition",4
BRONX,11,Sewer,6
BRONX,11,"Sidewalk Condition",1
BRONX,11,Smoking,2
BRONX,11,"Street Condition",3
BRONX,11,"Street Light Condition",25
BRONX,11,"Street Sign - Damaged",1
BRONX,11,"Street Sign - Missing",2
BRONX,11,"Taxi Complaint",4
BRONX,11,Traffic,1
BRONX,11,"Traffic Signal Condition",8
BRONX,11,"UNSANITARY CONDITION",49
BRONX,11,"Unsanitary Animal Pvt Property",2
BRONX,11,"WATER LEAK",26
BRONX,11,WNW,1
BRONX,11,"Water Conservation",1
BRONX,11,"Water System",16
BRONX,12,APPLIANCE,5
BRONX,12,"Air Quality",1
BRONX,12,"Animal Abuse",2
BRONX,12,Asbestos,2
BRONX,12,"Blocked Driveway",30
BRONX,12,Boilers,2
BRONX,12,"Broken Muni Meter",4
BRONX,12,"Broken Parking Meter",2
BRONX,12,"Building/Use",9
BRONX,12,"Consumer Complaint",15
BRONX,12,"DOF Property - Reduction Issue",3
BRONX,12,"DOOR/WINDOW",33
BRONX,12,"Damaged Tree",7
BRONX,12,"Dead Tree",2
BRONX,12,"Derelict Vehicle",6
BRONX,12,"Derelict Vehicles",10
BRONX,12,"Dirty Conditions",13
BRONX,12,"Drinking Water",1
BRONX,12,ELECTRIC,14
BRONX,12,ELEVATOR,1
BRONX,12,Elevator,11
BRONX,12,"FLOORING/STAIRS",28
BRONX,12,"Fire Alarm - Reinspection",1
BRONX,12,"Fire Safety Director - F58",2
BRONX,12,"Food Establishment",1
BRONX,12,"Food Poisoning",1
BRONX,12,GENERAL,17
BRONX,12,"General Construction/Plumbing",4
BRONX,12,Graffiti,2
BRONX,12,"HEAT/HOT WATER",141
BRONX,12,"Highway Condition",1
BRONX,12,"Homeless Encampment",1
BRONX,12,"Illegal Parking",10
BRONX,12,"Indoor Air Quality",2
BRONX,12,"Indoor Sewage",2
BRONX,12,"Industrial Waste",3
BRONX,12,"Litter Basket / Request",1
BRONX,12,"Missed Collection (All Materials)",1
BRONX,12,Noise,18
BRONX,12,"Noise - Park",1
BRONX,12,"Noise - Street/Sidewalk",9
BRONX,12,"Noise - Vehicle",5
BRONX,12,"Other Enforcement",3
BRONX,12,"Overflowing Litter Baskets",1
BRONX,12,"Overgrown Tree/Branches",5
BRONX,12,"PAINT/PLASTER",73
BRONX,12,PLUMBING,48
BRONX,12,Plumbing,2
BRONX,12,Rodent,22
BRONX,12,"Root/Sewer/Sidewalk Condition",4
BRONX,12,SAFETY,3
BRONX,12,SCRIE,7
BRONX,12,"Sanitation Condition",6
BRONX,12,"School Maintenance",6
BRONX,12,Sewer,10
BRONX,12,"Street Condition",10
BRONX,12,"Street Light Condition",123
BRONX,12,"Street Sign - Missing",1
BRONX,12,"Sweeping/Missed",1
BRONX,12,"Taxi Complaint",1
BRONX,12,Traffic,2
BRONX,12,"Traffic Signal Condition",10
BRONX,12,"UNSANITARY CONDITION",81
BRONX,12,"Unsanitary Animal Pvt Property",2
BRONX,12,"Vacant Lot",1
BRONX,12,"WATER LEAK",20
BRONX,12,WNW,1
BRONX,12,"Water Conservation",2
BRONX,12,"Water System",14
BRONX,13,APPLIANCE,6
BRONX,13,"Air Quality",4
BRONX,13,"Animal Abuse",2
BRONX,13,"Animal in a Park",2
BRONX,13,Asbestos,1
BRONX,13,"Blocked Driveway",41
BRONX,13,Boilers,1
BRONX,13,"Broken Muni Meter",8
BRONX,13,"Building/Use",11
BRONX,13,"Consumer Complaint",3
BRONX,13,"DOF Property - Reduction Issue",1
BRONX,13,"DOOR/WINDOW",46
BRONX,13,"Damaged Tree",5
BRONX,13,"Dead Tree",2
BRONX,13,"Derelict Vehicle",3
BRONX,13,"Derelict Vehicles",10
BRONX,13,"Dirty Conditions",9
BRONX,13,"Drinking Water",1
BRONX,13,ELECTRIC,25
BRONX,13,ELEVATOR,2
BRONX,13,Electrical,1
BRONX,13,Elevator,8
BRONX,13,"FLOORING/STAIRS",33
BRONX,13,"Fire Alarm - Reinspection",1
BRONX,13,"Fire Safety Director - F58",2
BRONX,13,"Food Establishment",2
BRONX,13,GENERAL,20
BRONX,13,"General Construction/Plumbing",7
BRONX,13,Graffiti,48
BRONX,13,"HEAT/HOT WATER",592
BRONX,13,"Highway Sign - Damaged",1
BRONX,13,"Illegal Animal Kept as Pet",2
BRONX,13,"Illegal Parking",24
BRONX,13,"Illegal Tree Damage",1
BRONX,13,"Indoor Air Quality",1
BRONX,13,"Indoor Sewage",1
BRONX,13,Lead,2
BRONX,13,"Maintenance or Facility",3
BRONX,13,"Missed Collection (All Materials)",12
BRONX,13,Noise,6
BRONX,13,"Noise - Street/Sidewalk",1
BRONX,13,"Non-Residential Heat",1
BRONX,13,"OUTSIDE BUILDING",1
BRONX,13,"Overflowing Litter Baskets",1
BRONX,13,"Overgrown Tree/Branches",2
BRONX,13,"PAINT/PLASTER",73
BRONX,13,PLUMBING,52
BRONX,13,Plumbing,2
BRONX,13,Rodent,20
BRONX,13,"Root/Sewer/Sidewalk Condition",3
BRONX,13,SAFETY,15
BRONX,13,"Sanitation Condition",9
BRONX,13,"School Maintenance",2
BRONX,13,"Senior Center Complaint",1
BRONX,13,Sewer,9
BRONX,13,"Sidewalk Condition",2
BRONX,13,Smoking,1
BRONX,13,"Street Condition",22
BRONX,13,"Street Light Condition",71
BRONX,13,"Street Sign - Damaged",2
BRONX,13,"Street Sign - Dangling",1
BRONX,13,"Street Sign - Missing",2
BRONX,13,"Sweeping/Missed",2
BRONX,13,"Taxi Report",1
BRONX,13,Traffic,3
BRONX,13,"Traffic Signal Condition",12
BRONX,13,"UNSANITARY CONDITION",74
BRONX,13,"Unsanitary Animal Pvt Property",1
BRONX,13,"Unsanitary Pigeon Condition",1
BRONX,13,"WATER LEAK",22
BRONX,13,WLWP,1
BRONX,13,"Water System",11
BRONX,14,APPLIANCE,12
BRONX,14,"Animal Abuse",5
BRONX,14,Asbestos,2
BRONX,14,"Blocked Driveway",41
BRONX,14,"Broken Muni Meter",7
BRONX,14,"Building/Use",12
BRONX,14,"Consumer Complaint",6
BRONX,14,"Cranes and Derricks",1
BRONX,14,"DOOR/WINDOW",36
BRONX,14,"Damaged Tree",3
BRONX,14,"Derelict Vehicle",2
BRONX,14,"Derelict Vehicles",2
BRONX,14,"Dirty Conditions",15
BRONX,14,ELECTRIC,15
BRONX,14,ELEVATOR,3
BRONX,14,Electrical,2
BRONX,14,Elevator,8
BRONX,14,"FLOORING/STAIRS",35
BRONX,14,"Food Establishment",2
BRONX,14,"Food Poisoning",1
BRONX,14,GENERAL,24
BRONX,14,"General Construction/Plumbing",8
BRONX,14,Graffiti,11
BRONX,14,"HEAT/HOT WATER",672
BRONX,14,"Highway Condition",1
BRONX,14,"Illegal Parking",35
BRONX,14,"Indoor Air Quality",2
BRONX,14,"Indoor Sewage",3
BRONX,14,"Industrial Waste",1
BRONX,14,Lead,1
BRONX,14,"Litter Basket / Request",2
BRONX,14,"Maintenance or Facility",2
BRONX,14,"Missed Collection (All Materials)",6
BRONX,14,"Noise - Commercial",5
BRONX,14,"Noise - Street/Sidewalk",4
BRONX,14,"Noise - Vehicle",2
BRONX,14,"Non-Residential Heat",2
BRONX,14,"Other Enforcement",2
BRONX,14,"Overgrown Tree/Branches",1
BRONX,14,"PAINT/PLASTER",73
BRONX,14,PLUMBING,32
BRONX,14,Plumbing,2
BRONX,14,Rodent,15
BRONX,14,"Root/Sewer/Sidewalk Condition",2
BRONX,14,SAFETY,8
BRONX,14,SCRIE,4
BRONX,14,"Sanitation Condition",7
BRONX,14,"School Maintenance",3
BRONX,14,Sewer,3
BRONX,14,"Sidewalk Condition",1
BRONX,14,"Special Enforcement",3
BRONX,14,"Special Projects Inspection Team (SPIT)",1
BRONX,14,"Street Condition",13
BRONX,14,"Street Light Condition",89
BRONX,14,"Street Sign - Missing",1
BRONX,14,Traffic,1
BRONX,14,"Traffic Signal Condition",14
BRONX,14,"UNSANITARY CONDITION",57
BRONX,14,"Unleashed Dog",1
BRONX,14,"Unsanitary Pigeon Condition",1
BRONX,14,"WATER LEAK",33
BRONX,14,"Water Conservation",1
BRONX,14,"Water System",7
BRONX,15,APPLIANCE,4
BRONX,15,"Air Quality",2
BRONX,15,"Animal Abuse",7
BRONX,15,"Blocked Driveway",29
BRONX,15,Boilers,1
BRONX,15,"Broken Muni Meter",5
BRONX,15,"Broken Parking Meter",1
BRONX,15,"Building/Use",8
BRONX,15,"Consumer Complaint",4
BRONX,15,"DOOR/WINDOW",27
BRONX,15,"Damaged Tree",1
BRONX,15,"Dead Tree",1
BRONX,15,"Derelict Vehicle",5
BRONX,15,"Derelict Vehicles",1
BRONX,15,"Dirty Conditions",14
BRONX,15,ELECTRIC,22
BRONX,15,ELEVATOR,1
BRONX,15,Elevator,11
BRONX,15,"FLOORING/STAIRS",18
BRONX,15,"Food Establishment",1
BRONX,15,"Food Poisoning",2
BRONX,15,"For Hire Vehicle Complaint",1
BRONX,15,GENERAL,20
BRONX,15,"General Construction/Plumbing",3
BRONX,15,Graffiti,2
BRONX,15,"HEAT/HOT WATER",682
BRONX,15,"Illegal Parking",14
BRONX,15,"Illegal Tree Damage",1
BRONX,15,"Maintenance or Facility",2
BRONX,15,"Missed Collection (All Materials)",7
BRONX,15,Noise,10
BRONX,15,"Noise - Commercial",13
BRONX,15,"Noise - House of Worship",2
BRONX,15,"Noise - Street/Sidewalk",6
BRONX,15,"Noise - Vehicle",4
BRONX,15,"OUTSIDE BUILDING",1
BRONX,15,"Overgrown Tree/Branches",1
BRONX,15,"PAINT/PLASTER",30
BRONX,15,PLUMBING,31
BRONX,15,Plumbing,1
BRONX,15,Rodent,8
BRONX,15,SAFETY,3
BRONX,15,"Sanitation Condition",4
BRONX,15,Sewer,3
BRONX,15,"Sidewalk Condition",1
BRONX,15,Smoking,2
BRONX,15,"Street Condition",7
BRONX,15,"Street Light Condition",10
BRONX,15,"Taxi Complaint",1
BRONX,15,"Traffic Signal Condition",16
BRONX,15,"UNSANITARY CONDITION",50
BRONX,15,"WATER LEAK",22
BRONX,15,"Water Conservation",1
BRONX,15,"Water System",2
BRONX,16,APPLIANCE,5
BRONX,16,"Animal in a Park",1
BRONX,16,Asbestos,1
BRONX,16,"Blocked Driveway",65
BRONX,16,Boilers,3
BRONX,16,"Building/Use",6
BRONX,16,"Consumer Complaint",2
BRONX,16,"DOOR/WINDOW",13
BRONX,16,"Damaged Tree",2
BRONX,16,"Dead Tree",1
BRONX,16,"Derelict Vehicle",1
BRONX,16,"Dirty Conditions",8
BRONX,16,ELECTRIC,14
BRONX,16,ELEVATOR,1
BRONX,16,Elevator,5
BRONX,16,"FLOORING/STAIRS",8
BRONX,16,"Food Poisoning",1
BRONX,16,"For Hire Vehicle Complaint",2
BRONX,16,"For Hire Vehicle Report",1
BRONX,16,GENERAL,7
BRONX,16,"General Construction/Plumbing",1
BRONX,16,"HEAT/HOT WATER",580
BRONX,16,"Hazardous Materials",1
BRONX,16,"Illegal Parking",26
BRONX,16,"Illegal Tree Damage",1
BRONX,16,"Indoor Air Quality",2
BRONX,16,"Industrial Waste",1
BRONX,16,"Maintenance or Facility",1
BRONX,16,"Missed Collection (All Materials)",13
BRONX,16,"Municipal Parking Facility",1
BRONX,16,Noise,10
BRONX,16,"Noise - Commercial",11
BRONX,16,"Noise - Street/Sidewalk",5
BRONX,16,"Noise - Vehicle",3
BRONX,16,"PAINT/PLASTER",24
BRONX,16,PLUMBING,24
BRONX,16,Plumbing,1
BRONX,16,Rodent,12
BRONX,16,SAFETY,2
BRONX,16,"Sanitation Condition",9
BRONX,16,"School Maintenance",1
BRONX,16,Sewer,8
BRONX,16,"Sidewalk Condition",1
BRONX,16,Smoking,1
BRONX,16,"Street Condition",47
BRONX,16,"Street Light Condition",6
BRONX,16,"Taxi Complaint",2
BRONX,16,"Traffic Signal Condition",12
BRONX,16,"UNSANITARY CONDITION",36
BRONX,16,"WATER LEAK",6
BRONX,16,WNW,1
BRONX,16,"Water System",9
BRONX,17,APPLIANCE,13
BRONX,17,"Animal Abuse",8
BRONX,17,Asbestos,1
BRONX,17,"Blocked Driveway",35
BRONX,17,"Broken Muni Meter",8
BRONX,17,"Broken Parking Meter",1
BRONX,17,"Building/Use",16
BRONX,17,"Consumer Complaint",3
BRONX,17,"DOF Property - Reduction Issue",3
BRONX,17,"DOOR/WINDOW",36
BRONX,17,"DPR Internal",1
BRONX,17,"Dead Tree",3
BRONX,17,"Derelict Vehicle",3
BRONX,17,"Dirty Conditions",5
BRONX,17,"Disorderly Youth",1
BRONX,17,ELECTRIC,48
BRONX,17,ELEVATOR,2
BRONX,17,Elevator,9
BRONX,17,"FLOORING/STAIRS",25
BRONX,17,"Fire Alarm - Reinspection",1
BRONX,17,"Food Establishment",3
BRONX,17,"For Hire Vehicle Complaint",2
BRONX,17,GENERAL,23
BRONX,17,"General Construction/Plumbing",4
BRONX,17,Graffiti,7
BRONX,17,"HEAT/HOT WATER",443
BRONX,17,"Hazardous Materials",1
BRONX,17,"Highway Condition",1
BRONX,17,"Homeless Encampment",1
BRONX,17,"Illegal Parking",23
BRONX,17,"Illegal Tree Damage",1
BRONX,17,"Indoor Air Quality",1
BRONX,17,"Indoor Sewage",1
BRONX,17,"Industrial Waste",1
BRONX,17,"Maintenance or Facility",2
BRONX,17,"Missed Collection (All Materials)",2
BRONX,17,Noise,5
BRONX,17,"Noise - Commercial",3
BRONX,17,"Noise - Street/Sidewalk",1
BRONX,17,"Noise - Vehicle",4
BRONX,17,"Non-Residential Heat",1
BRONX,17,"OUTSIDE BUILDING",2
BRONX,17,"Other Enforcement",1
BRONX,17,"Overgrown Tree/Branches",2
BRONX,17,"PAINT/PLASTER",72
BRONX,17,PLUMBING,55
BRONX,17,Plumbing,1
BRONX,17,Rodent,12
BRONX,17,"Root/Sewer/Sidewalk Condition",3
BRONX,17,SAFETY,6
BRONX,17,SCRIE,5
BRONX,17,"Sanitation Condition",11
BRONX,17,"School Maintenance",2
BRONX,17,Sewer,49
BRONX,17,"Sidewalk Condition",1
BRONX,17,Smoking,2
BRONX,17,"Special Enforcement",8
BRONX,17,"Special Projects Inspection Team (SPIT)",3
BRONX,17,"Street Condition",10
BRONX,17,"Street Light Condition",92
BRONX,17,"Street Sign - Damaged",1
BRONX,17,"Street Sign - Missing",2
BRONX,17,"Sweeping/Inadequate",1
BRONX,17,"Taxi Complaint",2
BRONX,17,Traffic,1
BRONX,17,"Traffic Signal Condition",15
BRONX,17,"UNSANITARY CONDITION",99
BRONX,17,"Unsanitary Animal Facility",1
BRONX,17,"Urinating in Public",1
BRONX,17,Vending,1
BRONX,17,"WATER LEAK",50
BRONX,17,"Water System",14
BRONX,17,"Window Guard",1
BRONX,18,APPLIANCE,10
BRONX,18,"Air Quality",1
BRONX,18,"Animal Abuse",10
BRONX,18,Asbestos,2
BRONX,18,"Blocked Driveway",26
BRONX,18,Boilers,1
BRONX,18,"Broken Muni Meter",4
BRONX,18,"Building/Use",7
BRONX,18,"Bus Stop Shelter Placement",1
BRONX,18,Construction,1
BRONX,18,"Consumer Complaint",10
BRONX,18,"DOF Property - Reduction Issue",1
BRONX,18,"DOOR/WINDOW",66
BRONX,18,"DPR Internal",1
BRONX,18,"Damaged Tree",3
BRONX,18,"Dead Tree",1
BRONX,18,"Derelict Vehicle",11
BRONX,18,"Derelict Vehicles",7
BRONX,18,"Dirty Conditions",3
BRONX,18,ELECTRIC,42
BRONX,18,Electrical,1
BRONX,18,Elevator,12
BRONX,18,"FLOORING/STAIRS",43
BRONX,18,"Fire Safety Director - F58",1
BRONX,18,"Food Establishment",2
BRONX,18,"Food Poisoning",1
BRONX,18,GENERAL,18
BRONX,18,"General Construction/Plumbing",12
BRONX,18,Graffiti,4
BRONX,18,"HEAT/HOT WATER",1138
BRONX,18,"Hazardous Materials",1
BRONX,18,"Highway Condition",8
BRONX,18,"Highway Sign - Damaged",1
BRONX,18,"Homeless Encampment",1
BRONX,18,"Illegal Parking",28
BRONX,18,"Indoor Air Quality",2
BRONX,18,"Indoor Sewage",1
BRONX,18,"Maintenance or Facility",1
BRONX,18,"Missed Collection (All Materials)",3
BRONX,18,Noise,10
BRONX,18,"Noise - Vehicle",1
BRONX,18,"Non-Residential Heat",9
BRONX,18,"OUTSIDE BUILDING",2
BRONX,18,"Other Enforcement",3
BRONX,18,"PAINT/PLASTER",98
BRONX,18,PLUMBING,67
BRONX,18,Plumbing,1
BRONX,18,Rodent,17
BRONX,18,"Root/Sewer/Sidewalk Condition",4
BRONX,18,SAFETY,11
BRONX,18,SCRIE,3
BRONX,18,SDEP,1
BRONX,18,"Sanitation Condition",6
BRONX,18,Sewer,13
BRONX,18,"Sidewalk Condition",2
BRONX,18,Smoking,1
BRONX,18,Snow,1
BRONX,18,"Special Enforcement",9
BRONX,18,"Street Condition",13
BRONX,18,"Street Light Condition",121
BRONX,18,"Street Sign - Damaged",1
BRONX,18,"Street Sign - Dangling",1
BRONX,18,"Street Sign - Missing",1
BRONX,18,"Sweeping/Inadequate",1
BRONX,18,"Taxi Complaint",2
BRONX,18,Traffic,1
BRONX,18,"Traffic Signal Condition",20
BRONX,18,"UNSANITARY CONDITION",98
BRONX,18,"Unsanitary Animal Pvt Property",1
BRONX,18,"WATER LEAK",24
BRONX,18,"Water Conservation",1
BRONX,18,"Water System",13
BRONX,19,APPLIANCE,14
BRONX,19,"Air Quality",4
BRONX,19,"Animal Abuse",7
BRONX,19,Asbestos,1
BRONX,19,"Blocked Driveway",37
BRONX,19,Boilers,5
BRONX,19,"Broken Muni Meter",5
BRONX,19,"Building/Use",12
BRONX,19,"Bus Stop Shelter Placement",1
BRONX,19,"City Vehicle Placard Complaint",1
BRONX,19,"Consumer Complaint",1
BRONX,19,"DOF Property - Reduction Issue",3
BRONX,19,"DOOR/WINDOW",68
BRONX,19,"Damaged Tree",1
BRONX,19,"Dead Tree",1
BRONX,19,"Derelict Vehicle",3
BRONX,19,"Derelict Vehicles",4
BRONX,19,ELECTRIC,41
BRONX,19,Electrical,1
BRONX,19,Elevator,6
BRONX,19,"FLOORING/STAIRS",34
BRONX,19,"Fire Safety Director - F58",1
BRONX,19,"Food Establishment",2
BRONX,19,GENERAL,33
BRONX,19,"General Construction/Plumbing",7
BRONX,19,Graffiti,39
BRONX,19,"HEAT/HOT WATER",1191
BRONX,19,"Hazardous Materials",1
BRONX,19,"Highway Condition",1
BRONX,19,"Homeless Encampment",2
BRONX,19,"Illegal Animal Kept as Pet",1
BRONX,19,"Illegal Parking",27
BRONX,19,"Industrial Waste",1
BRONX,19,"Legal Services Provider Complaint",1
BRONX,19,"Litter Basket / Request",2
BRONX,19,"Maintenance or Facility",1
BRONX,19,"Missed Collection (All Materials)",6
BRONX,19,Noise,9
BRONX,19,"Noise - Commercial",2
BRONX,19,"Noise - Street/Sidewalk",3
BRONX,19,"Noise - Vehicle",6
BRONX,19,"Non-Residential Heat",4
BRONX,19,"Overgrown Tree/Branches",3
BRONX,19,"PAINT/PLASTER",95
BRONX,19,PLUMBING,89
BRONX,19,Plumbing,2
BRONX,19,Rodent,16
BRONX,19,"Root/Sewer/Sidewalk Condition",2
BRONX,19,SAFETY,11
BRONX,19,SCRIE,7
BRONX,19,"Sanitation Condition",4
BRONX,19,"School Maintenance",1
BRONX,19,Sewer,10
BRONX,19,"Sidewalk Condition",3
BRONX,19,Smoking,3
BRONX,19,Snow,3
BRONX,19,"Special Enforcement",8
BRONX,19,"Street Condition",14
BRONX,19,"Street Light Condition",95
BRONX,19,"Street Sign - Dangling",1
BRONX,19,"Sweeping/Missed",1
BRONX,19,"Taxi Complaint",1
BRONX,19,Traffic,3
BRONX,19,"Traffic Signal Condition",17
BRONX,19,"UNSANITARY CONDITION",82
BRONX,19,"Unsanitary Animal Pvt Property",2
BRONX,19,"Vacant Lot",1
BRONX,19,"Violation of Park Rules",1
BRONX,19,"WATER LEAK",48
BRONX,19,WLWP,1
BRONX,19,WNW,1
BRONX,19,"Water Conservation",1
BRONX,19,"Water System",18
BRONX,2,APPLIANCE,5
BRONX,2,"Animal Abuse",2
BRONX,2,"Blocked Driveway",31
BRONX,2,Boilers,4
BRONX,2,"Building/Use",6
BRONX,2,"City Vehicle Placard Complaint",1
BRONX,2,"Consumer Complaint",4
BRONX,2,"DOOR/WINDOW",26
BRONX,2,"Damaged Tree",33
BRONX,2,"Dead Tree",3
BRONX,2,"Derelict Vehicle",5
BRONX,2,"Dirty Conditions",4
BRONX,2,ELECTRIC,10
BRONX,2,Electrical,1
BRONX,2,Elevator,3
BRONX,2,"FLOORING/STAIRS",8
BRONX,2,"Food Establishment",3
BRONX,2,"For Hire Vehicle Complaint",2
BRONX,2,GENERAL,14
BRONX,2,"General Construction/Plumbing",8
BRONX,2,"HEAT/HOT WATER",857
BRONX,2,"Highway Condition",1
BRONX,2,"Illegal Parking",6
BRONX,2,"Indoor Air Quality",1
BRONX,2,"Indoor Sewage",1
BRONX,2,"Maintenance or Facility",1
BRONX,2,"Missed Collection (All Materials)",7
BRONX,2,Noise,7
BRONX,2,"Noise - Commercial",9
BRONX,2,"Noise - Street/Sidewalk",5
BRONX,2,"Noise - Vehicle",3
BRONX,2,"Non-Residential Heat",1
BRONX,2,"OUTSIDE BUILDING",1
BRONX,2,"Other Enforcement",2
BRONX,2,"Overgrown Tree/Branches",6
BRONX,2,"PAINT/PLASTER",22
